Organism	Uniprot	Protein name	Secretion	CAZy	Enzyme type	Substrate details	H2O2 type	MEROPS	Bagasse1	Bagasse2	Bagasse3	Birch1	Birch2	Birch3	Spruce1	Spruce2	Spruce3	Cellulose1	Cellulose2	Cellulose3	Glucose1	Glucose2	Glucose3	Peptides	Unique peptides	Score	MS/MS count	Majority protein IDs	EC	GO
a.terreus	Q0CSA7	Alpha-galactosidase	Y	CBM1;GH27	GH				1.19	1.43	1.59		-0.79	-1.10	1.22		0.17	2.09	1.28	1.74				5	5	80.166	142	tr|Q0CSA7|Q0CSA7_ASPTN	EC 3.2.1.22	carbohydrate metabolic process [GO:0005975]
h.jecorina	G0R6Q5	Predicted protein	Y															-1.19		-1.46				1	1	13.956	16	tr|G0R6Q5|G0R6Q5_HYPJQ		
p.chrysosporium	2762170417	Glycoside Hydrolase Family 28	Y	CBM1;GH28	GH	pectin			-0.16	-0.65	-1.46	-2.18	-2.29			1.76	-0.29							6	6	137.35	124	2762170417		carbohydrate metabolic process
p.chrysosporium	2762169240	beta-glucosidase	Y	CBM1;GH3	GH	xylan			0.37	0.73	0.00	0.01	-0.02	-1.63		-0.06	0.27							11	11	203.42	162	2762169240		carbohydrate metabolic process
a.terreus	Q0CMT1	Exoglucanase 1	Y	CBM1;GH5_5	GH	cellulose			3.02	3.65	2.97	3.66	1.87	2.47	2.87	3.25	2.05	4.61	4.46	4.67				10	10	323.31	776	tr|Q0CMT1|Q0CMT1_ASPTN		carbohydrate metabolic process [GO:0005975]
p.chrysosporium	2762171758	Glycoside Hydrolase Family 5 protein	Y	CBM1;GH5_7	GH	cellulose			1.36	1.42	0.92	0.74	-0.08	-1.36		2.46	0.95	0.31	0.58					3	3	273.27	217	2762171758		carbohydrate metabolic process
h.jecorina	G0R761	Uncharacterized protein	N						-0.04	0.38	0.39	-0.13	0.50	-0.62				-0.47		-1.95				5	5	93.996	74	tr|G0R761|G0R761_HYPJQ		translation [GO:0006412]
h.jecorina	G0R7A1	Uncharacterized protein	N						1.86	2.08	1.78	0.95	0.87	0.33				0.89	0.05	0.27				11	11	141.49	157	tr|G0R7A1|G0R7A1_HYPJQ		
h.jecorina	G0R7F8	Acetyl-coenzyme A synthetase	N						-1.12	-0.93	-1.52	-1.47	-1.41	-1.25										7	7	78.886	34	tr|G0R7F8|G0R7F8_HYPJQ	EC 6.2.1.1	acetyl-CoA biosynthetic process from acetate [GO:0019427]
h.jecorina	G0R7R1	Uncharacterized protein	N						-1.91	-1.65	-1.39							-2.16						2	2	12.586	13	tr|G0R7R1|G0R7R1_HYPJQ		translation [GO:0006412]
h.jecorina	G0R816	Trypsin-like serine protease	Y					PA-S1	2.66	2.33	3.41	2.91	2.75	3.54	2.30	1.42	1.96							3	3	36.771	85	tr|G0R816|G0R816_HYPJQ		
h.jecorina	G0R827	COOH terminal WSC domain-containing protein	N						-0.15	-0.32	-0.19	-0.94	-0.90	-0.70	-2.23	-1.73	-1.99	-0.05	-0.54	0.50	-2.63			4	4	198.61	95	tr|G0R827|G0R827_HYPJQ		
a.terreus	Q0CFP1	Probable 1,4-beta-D-glucan cellobiohydrolase C	Y	CBM1;GH6	GH	cellulose			4.54	4.95	4.61		3.78	3.89	4.59	3.91	3.93	6.67	6.03	6.21				9	9	323.31	613	sp|Q0CFP1|CBHC_ASPTN	EC 3.2.1.91	cellulose catabolic process [GO:0030245]
h.jecorina	G0R894	Glyceraldehyde-3-phosphate dehydrogenase	N						0.92	1.04	1.17	0.49	0.44	-0.37				2.36	0.41	0.43	-2.12	-0.94	-0.65	10	10	323.31	133	tr|G0R894|G0R894_HYPJQ	EC 1.2.1.12	glucose metabolic process [GO:0006006]; glycolytic process [GO:0006096]
h.jecorina	G0R8E3	Predicted protein	Y															3.08	-1.68					7	7	115.35	22	tr|G0R8E3|G0R8E3_HYPJQ		
h.jecorina	G0R8H7	Translation elongation factor 3-like protein	N						-1.28	-1.27	-1.26													5	5	35.553	15	tr|G0R8H7|G0R8H7_HYPJQ		
h.jecorina	G0R8T0	Aspartate protease	Y					AA-A1										-1.79	-1.32	-1.68				3	3	59.574	15	tr|G0R8T0|G0R8T0_HYPJQ		
h.jecorina	G0RB58	Glucanase	Y	CBM1;GH6	GH	cellulose			5.48	5.22	6.01	4.58	4.80	5.03	5.15	5.16	5.21	9.25	7.21	7.57				9	9	323.31	1672	tr|G0RB58|G0RB58_HYPJQ	EC 3.2.1.-	cellulose catabolic process [GO:0030245]
m.thermophila	G2QA39	Glucanase	Y	CBM1;GH6	GH	cellulose			7.55	7.77	7.26	6.74	6.45	6.88	5.49	5.43	5.65	7.73	7.81	7.45				17	17	323.31	2176	tr|G2QA39|G2QA39_MYCTT	EC 3.2.1.-	cellulose catabolic process [GO:0030245]
n.crassa	Q1K6Q5	Glucanase	Y	CBM1;GH6	GH	cellulose			0.52		0.76	3.17	2.99	2.40										5	5	323.31	43	tr|Q1K6Q5|Q1K6Q5_NEUCR	EC 3.2.1.-	cellulose catabolic process [GO:0030245]
h.jecorina	G0R9F2	40s ribosomal protein	N						0.93	1.17	0.63	0.92	1.17	0.65				0.01	-0.76	-1.11				7	7	136.65	102	tr|G0R9F2|G0R9F2_HYPJQ		ribosomal small subunit export from nucleus [GO:0000056]; rRNA export from nucleus [GO:0006407]; translation [GO:0006412]
p.chrysosporium	2762160227	Glycoside Hydrolase Family 6 protein	Y	CBM1;GH6	GH	cellulose			6.09	5.56	4.85	5.08	4.69	3.60	5.00	6.80	4.64	1.56	0.24		1.72	2.00	0.99	8	8	323.31	805	2762160227		carbohydrate metabolic process;cellulose catabolic process
a.terreus	Q0C7F5	Alpha-L-arabinofuranosidase	Y	CBM1;GH62	GH	arabinan			4.20	4.80	4.60	-0.71	3.77	3.98	4.37	4.19	4.12	4.91	4.52	4.38				10	10	323.31	981	tr|Q0C7F5|Q0C7F5_ASPTN		L-arabinose metabolic process [GO:0046373]
h.jecorina	G0RA45	Elongation factor 2	N						0.89	1.76	1.18	1.54	1.48	-0.81				0.78		-1.46				15	15	136.29	85	tr|G0RA45|G0RA45_HYPJQ		
h.jecorina	G0RA64	Predicted protein	N						0.62	0.65	0.59	-0.18	0.30	-0.67				-0.73						10	9	94.874	85	tr|G0RA64|G0RA64_HYPJQ		
h.jecorina	G0RAG8	40S ribosomal protein S4	N						-0.49	0.24	-0.04		-0.41											2	2	29.021	23	tr|G0RAG8|G0RAG8_HYPJQ		translation [GO:0006412]
h.jecorina	G0RAR9	Hsp70 family protein, mitochondrial	N						-2.16	-1.80			-1.26											4	4	26.821	11	tr|G0RAR9|G0RAR9_HYPJQ		protein folding [GO:0006457]
h.jecorina	G0RB23	Predicted protein	Y															-0.99	-0.31	-0.50				5	5	47.051	28	tr|G0RB23|G0RB23_HYPJQ		
m.thermophila	G2QCS4	Endoglucanase 7a	Y	CBM1;GH7	GH	cellulose			1.64	1.94	1.59	2.12	1.89	1.98	0.21	-0.23	0.10	3.01	2.59	1.91				10	10	111.03	237	sp|G2QCS4|CEL7A_MYCTT	EC 3.2.1.4	cellulose catabolic process [GO:0030245]
m.thermophila	G2Q665	Glucanase	Y	CBM1;GH7	GH	cellulose			6.84	7.22	7.00	6.99	6.57	6.69	4.05	4.50	4.66	7.63	7.47	6.61				20	20	323.31	1572	tr|G2Q665|G2Q665_MYCTT	EC 3.2.1.-	cellulose catabolic process [GO:0030245]
h.jecorina	G0RBA5	3-hydroxy-3-methylglutaryl coenzyme A synthase	N															-0.95	-1.85					3	3	18.111	10	tr|G0RBA5|G0RBA5_HYPJQ	EC 2.3.3.10	acetyl-CoA metabolic process [GO:0006084]; ergosterol biosynthetic process [GO:0006696]; farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]
n.crassa	Q7SA23	Exoglucanase 1	Y	CBM1;GH7	GH	cellulose			2.63	0.83	1.83	2.86	2.93	2.58						0.59				8	8	323.31	80	sp|Q7SA23|GUX1A_NEUCR	EC 3.2.1.91	cellulose catabolic process [GO:0030245]
h.jecorina	G0RBD0	Uncharacterized protein	N						-1.05	-0.78	-0.85	-0.57	-0.77	-1.56				-1.82						2	2	61.508	43	tr|G0RBD0|G0RBD0_HYPJQ		translation [GO:0006412]
h.jecorina	G0RBD3	Cross-pathway control WD-repeat-containing protein	N						-0.07	-0.03	-0.20													3	3	19.194	14	tr|G0RBD3|G0RBD3_HYPJQ		
h.jecorina	G0RC29	Predicted protein	Y						-0.57	-1.08														3	3	18.306	15	tr|G0RC29|G0RC29_HYPJQ		
p.chrysosporium	2762170494	exo-cellobiohydrolase I precursor	Y	CBM1;GH7	GH	cellulose			5.88	6.19	5.99	4.79	4.56	3.24	5.46	6.34	6.59	-0.96	-0.60					15	12	323.31	773	2762170494		carbohydrate metabolic process
a.terreus	Q0CGA6	Uncharacterized protein	Y	CBM20;AA13	LPMO	cellulose	Consumer						-2.63					-0.97	-1.51	-0.82				3	3	38.288	31	tr|Q0CGA6|Q0CGA6_ASPTN		
h.jecorina	G0RCP6	GTP-binding nuclear protein	N						-0.84	-1.00	-1.20													2	2	15.062	14	tr|G0RCP6|G0RCP6_HYPJQ		nucleocytoplasmic transport [GO:0006913]; protein transport [GO:0015031]
h.jecorina	G0RCQ4	ATP synthase subunit alpha	N						2.16	2.26	1.98	1.86	2.01	1.29				1.24	-0.21	-0.27				12	12	278.61	263	tr|G0RCQ4|G0RCQ4_HYPJQ		ATP synthesis coupled proton transport [GO:0015986]
h.jecorina	G0RCS5	6-phosphogluconate dehydrogenase, decarboxylating	N						-0.24	0.11	-0.36	-0.28	-0.38	-1.21				-0.47	-1.51	-1.28				6	6	101.26	51	tr|G0RCS5|G0RCS5_HYPJQ	EC 1.1.1.44	D-gluconate metabolic process [GO:0019521]; pentose-phosphate shunt [GO:0006098]
a.terreus	Q0CDF5	Alpha-amylase A	N	CBM20;GH13_1	GH													1.24	0.89	1.06				10	10	239.15	74	tr|Q0CDF5|Q0CDF5_ASPTN		carbohydrate catabolic process [GO:0016052]
h.jecorina	G0RD36	Adenylate kinase	N							-3.09	-3.17													2	2	11.384	4	tr|G0RD36|G0RD36_HYPJQ	EC 2.7.4.3	ADP biosynthetic process [GO:0006172]; AMP metabolic process [GO:0046033]; ATP metabolic process [GO:0046034]; DNA replication initiation [GO:0006270]
h.jecorina	G0RDA0	40S ribosomal protein S6	N						-1.09	-0.73	-1.14													4	4	30.904	13	tr|G0RDA0|G0RDA0_HYPJQ		translation [GO:0006412]
m.thermophila	G2QPS0	Glycoside hydrolase family 15 protein	Y	CBM20;GH15	GH				-0.50	-0.40		0.93	0.89	0.67	0.23	0.28	-0.55	-1.13	-1.65	-1.91				16	16	172.7	140	tr|G2QPS0|G2QPS0_MYCTT		polysaccharide catabolic process [GO:0000272]
h.jecorina	G0RDC5	Phosphopyruvate hydratase	N						-0.84	-0.66	0.35	-0.16	-0.38	-0.03				-0.31	-0.88					8	8	157.89	85	tr|G0RDC5|G0RDC5_HYPJQ		glycolytic process [GO:0006096]
h.jecorina	G0RDR6	Transketolase	N						-0.64	-0.46	-0.65		-0.63					-0.20						6	6	45.468	27	tr|G0RDR6|G0RDR6_HYPJQ	EC 2.2.1.1	metabolic process [GO:0008152]
h.jecorina	G0RDU0	Predicted protein	N						-1.03	-1.27	-1.38	-1.46	-1.62	-2.34										5	5	35.975	24	tr|G0RDU0|G0RDU0_HYPJQ		carbohydrate metabolic process [GO:0005975]
h.jecorina	G0RDU2	Predicted protein	N									-0.94	-0.75											2	2	29.912	29	tr|G0RDU2|G0RDU2_HYPJQ		
h.jecorina	G0RDW0	Acid phosphatase-like protein	Y												-1.24	-0.40	-1.15	-1.82	0.32	0.90				7	7	57.73	42	tr|G0RDW0|G0RDW0_HYPJQ		metabolic process [GO:0008152]
n.crassa	P14804	Glucoamylase	Y	CBM20;GH15	GH							-1.63	-1.46	-1.92				-0.89	-0.63		-2.22	-0.58	-1.85	5	5	137.65	52	sp|P14804|AMYG_NEUCR	EC 3.2.1.3	carbohydrate catabolic process [GO:0016052]; polysaccharide catabolic process [GO:0000272]
h.jecorina	G0REM9	Phospholipase C	Y												-0.99		-0.91		0.63	0.30				7	7	171.14	46	tr|G0REM9|G0REM9_HYPJQ		metabolic process [GO:0008152]
p.chrysosporium	2762167002	Glycoside Hydrolase Family 15	Y	CBM20;GH15	GH				-0.96	-0.96	-0.57	-1.19	-1.86			-0.91	-0.34	-0.42	-0.42		-0.28	0.10	-0.54	11	11	95.133	145	2762167002		
a.terreus	Q0CV89	Uncharacterized protein	N	CBM22	CBM_only																0.10	0.80	0.00	2	2	21.151	84	tr|Q0CV89|Q0CV89_ASPTN		
h.jecorina	G0RF42	Ribosomal protein S18, S13 family	N						-0.48	-0.49	-0.80	-0.48	-0.35	-1.31				-0.81	-1.92					5	5	109.63	31	tr|G0RF42|G0RF42_HYPJQ		translation [GO:0006412]
h.jecorina	G0RF66	Predicted protein	N						-0.76	-0.65	-0.57	-0.77	-1.28					-1.33		-1.54				5	5	78.969	29	tr|G0RF66|G0RF66_HYPJQ		cytoplasmic translational initiation [GO:0002183]
h.jecorina	G0RF71	Predicted protein	N						-2.26	-1.68	-2.53													4	3	18.809	9	tr|G0RF71|G0RF71_HYPJQ		
a.terreus	Q0CVX4	Probable alpha-galactosidase D	Y	CBM35;GH27	GH				-1.13	-0.90	-1.50		-2.67		-1.86	-2.02		-1.97						12	12	44.74	68	sp|Q0CVX4|AGALD_ASPTN	EC 3.2.1.22	polysaccharide catabolic process [GO:0000272]
h.jecorina	G0RFZ5	Elongation factor 1-alpha	N						3.21	3.44	3.65	2.43	2.89	2.36				2.23	1.37	0.97			-1.78	10	10	144.16	249	tr|G0RFZ5|G0RFZ5_HYPJQ		
a.terreus	Q0CEE5	Probable alpha-L-arabinofuranosidase B (ABF B) (Arabinosidase B)	Y	CBM42;GH54	GH				1.77	2.41	1.85		1.25	1.87	2.01	2.37	2.25	0.78	0.65	0.28	-0.66	0.10		17	17	228.83	447	sp|Q0CEE5|ABFB_ASPTN	EC 3.2.1.55	arabinan catabolic process [GO:0031222]; arabinose metabolic process [GO:0019566]; L-arabinose metabolic process [GO:0046373]; xylan catabolic process [GO:0045493]
h.jecorina	G0RA39	Glycoside hydrolase family 54	Y	CBM42;GH54	GH										-1.46	-0.44	-0.95							7	6	88.037	43	tr|G0RA39|G0RA39_HYPJQ		arabinan metabolic process [GO:0031221]; L-arabinose metabolic process [GO:0046373]
h.jecorina	G0RGH7	Predicted protein	N							-0.47		-0.01	0.11											2	2	109.06	50	tr|G0RGH7|G0RGH7_HYPJQ		
h.jecorina	G0RGJ9	Ribosomal protein S9, S4 family	N							-1.34	-1.24													3	3	19.928	17	tr|G0RGJ9|G0RGJ9_HYPJQ		translation [GO:0006412]
h.jecorina	G0RGK9	Nucleoside diphosphate kinase	N						1.20	2.14	1.82	0.98	1.37	0.77				-0.35	-0.40	-1.64				5	5	323.31	114	tr|G0RGK9|G0RGK9_HYPJQ	EC 2.7.4.6	CDP phosphorylation [GO:0061508]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; UTP biosynthetic process [GO:0006228]
h.jecorina	G0RGM1	Predicted protein	Y						-1.32		-2.10				-3.26	-2.86	-3.36	-2.71	-0.86					3	3	24.956	30	tr|G0RGM1|G0RGM1_HYPJQ		
h.jecorina	G0RH05	Predicted protein	N					GA-G1							0.02	-0.56	-0.20	-1.10	-1.18	0.03				3	3	190.05	41	tr|G0RH05|G0RH05_HYPJQ		
h.jecorina	G0RHD3	Formate dehydrogenase	N						1.80	1.75	1.54	0.47	0.51											9	9	135.33	84	tr|G0RHD3|G0RHD3_HYPJQ	EC 1.17.1.9	formate catabolic process [GO:0042183]
h.jecorina	G0RRB2	Glycoside hydrolase family 54	Y	CBM42;GH54	GH				1.75	1.91	1.76	1.89	1.76	2.06	2.28	2.30	2.37							10	9	323.31	345	tr|G0RRB2|G0RRB2_HYPJQ		arabinan metabolic process [GO:0031221]; L-arabinose metabolic process [GO:0046373]
h.jecorina	G0RHU1	Dihydrolipoyl dehydrogenase	N							-2.05	-2.27		-2.66											3	3	22.319	20	tr|G0RHU1|G0RHU1_HYPJQ	EC 1.8.1.4	2-oxoglutarate metabolic process [GO:0006103]; cell redox homeostasis [GO:0045454]; glycine catabolic process [GO:0006546]; hydrogen peroxide metabolic process [GO:0042743]; isoleucine catabolic process [GO:0006550]; leucine catabolic process [GO:0006552]; L-serine biosynthetic process [GO:0006564]; pyruvate metabolic process [GO:0006090]; valine catabolic process [GO:0006574]
h.jecorina	G0RHV1	Pyruvate decarboxylase	N															0.03	-0.09	-0.29				8	8	51.836	21	tr|G0RHV1|G0RHV1_HYPJQ		
h.jecorina	G0RI29	Predicted protein	Y															-1.27	-1.34	-2.25				2	2	42.882	13	tr|G0RI29|G0RI29_HYPJQ		
h.jecorina	G0RI67	Predicted protein	N															1.22	0.37	0.75				14	14	114.2	49	tr|G0RI67|G0RI67_HYPJQ		carbohydrate metabolic process [GO:0005975]
p.chrysosporium	2762169148	class III chitinase	Y	CBM5;GH18;CBM5	GH	chitin										-1.69	-1.40							3	3	11.221	15	2762169148		carbohydrate metabolic process
h.jecorina	G0RIJ1	Predicted protein	N						-0.26	-0.22	-1.01	-0.68	-0.82	-1.31										2	2	34	22	tr|G0RIJ1|G0RIJ1_HYPJQ		
h.jecorina	G0RIJ8	Thiamine biosynthesis transporter	N															0.81	-0.68	-0.47				4	4	61.204	20	tr|G0RIJ8|G0RIJ8_HYPJQ		thiamine biosynthetic process [GO:0009228]
h.jecorina	G0RIK1	Predicted protein	Y					MC-M14	0.19	-0.24	-0.22	-0.71	-1.10	-0.63	-0.34	-0.46	-0.38							4	4	47.391	56	tr|G0RIK1|G0RIK1_HYPJQ		
h.jecorina	G0RIL9	Neutral protease 2	Y					MA-M35	2.74	2.34	2.68	0.38	0.13	0.73										3	3	278.41	62	tr|G0RIL9|G0RIL9_HYPJQ	EC 3.4.24.39	
h.jecorina	G0RIR9	Aconitate hydratase, mitochondrial	N						-1.82	-1.69	-1.86		-1.96	-2.81										3	3	40.142	20	tr|G0RIR9|G0RIR9_HYPJQ	EC 4.2.1.-	mitochondrial genome maintenance [GO:0000002]; tricarboxylic acid cycle [GO:0006099]
h.jecorina	G0RIT4	Histone H2B	N						1.09	0.80	0.28	0.76	0.29	0.60				0.05						3	3	26.98	39	tr|G0RIT4|G0RIT4_HYPJQ		
h.jecorina	G0RJ19	40S ribosomal protein S7	N										-1.35	-1.70										2	2	18.105	10	tr|G0RJ19|G0RJ19_HYPJQ		translation [GO:0006412]
m.thermophila	G2QCL0	Carbohydrate-binding module family 52 protein	Y	CBM52	CBM_only																0.49	-1.01		2	2	32.694	28	tr|G2QCL0|G2QCL0_MYCTT		
h.jecorina	G0RJ44	Malate dehydrogenase	N						-0.33	-0.01	0.20	-0.54	0.41	0.27										9	8	62.116	64	tr|G0RJ44|G0RJ44_HYPJQ	EC 1.1.1.37	carbohydrate metabolic process [GO:0005975]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]
h.jecorina	G0RJI7	Predicted protein	N						1.61	1.64	1.40	1.26	1.71	-0.22				1.36	0.26	-0.61				19	19	197.75	144	tr|G0RJI7|G0RJI7_HYPJQ		methionine biosynthetic process [GO:0009086]
h.jecorina	G0RJJ0	Alpha subunit of ATP citrate lyase	N								-1.13		-1.67					-1.23		-2.54				4	4	40.563	21	tr|G0RJJ0|G0RJJ0_HYPJQ		metabolic process [GO:0008152]
h.jecorina	G0RJJ1	Beta subunit of ATP citrate lyase	N						-0.23	-0.01	-0.32							0.45	-0.72	-1.27				7	7	86.421	64	tr|G0RJJ1|G0RJJ1_HYPJQ		
a.terreus	Q0C8B2	Uncharacterized protein	Y	CBM6;GH43_29	GH	arabinan;xylan					-3.44				-3.04		-3.26							4	4	12.554	29	tr|Q0C8B2|Q0C8B2_ASPTN		carbohydrate metabolic process [GO:0005975]
h.jecorina	G0RJK8	Adenine nucleotide translocator	N						0.85	1.45	0.59	0.73	1.00	0.30				0.27	-0.16	-0.45				8	8	129.46	127	tr|G0RJK8|G0RJK8_HYPJQ;tr|G0RBG4|G0RBG4_HYPJQ		transmembrane transport [GO:0055085]
h.jecorina	G0RJL0	Ribosomal protein S5, S7 family	N						-1.52	-1.62	-2.59													4	4	43.69	23	tr|G0RJL0|G0RJL0_HYPJQ		translation [GO:0006412]
h.jecorina	G0RJV2	Uncharacterized protein	N									-1.20	-1.08											4	4	30.255	20	tr|G0RJV2|G0RJV2_HYPJQ		
h.jecorina	G0RJV3	Ribosomal protein S14, S11 family	N						-0.13	-0.04	-0.32	-0.54	-0.54	-1.28				-0.87						4	4	49.639	38	tr|G0RJV3|G0RJV3_HYPJQ		translation [GO:0006412]
h.jecorina	G0RK22	Uncharacterized protein	N						-0.07	0.15	0.62		0.16					-0.37	-1.31	-1.88				4	4	116.93	59	tr|G0RK22|G0RK22_HYPJQ		positive regulation of translational fidelity [GO:0045903]; rRNA export from nucleus [GO:0006407]; translation [GO:0006412]
h.jecorina	G0RKA3	D-xylose reductase	N						0.14	0.60	0.42		-0.30											5	5	64.951	52	tr|G0RKA3|G0RKA3_HYPJQ		
h.jecorina	G0RKF5	Predicted protein	Y					MC-M14	2.50	2.27	2.48	2.01	1.63	2.16	1.52	1.98	1.72							13	13	323.31	242	tr|G0RKF5|G0RKF5_HYPJQ		
h.jecorina	G0RCG3	Predicted protein	Y	CE1	esterase	feruloyl esterase			0.10	0.92	1.39	1.08	1.33		-0.40	-1.14	-0.92	1.44	2.10	2.23				4	4	129.69	142	tr|G0RCG3|G0RCG3_HYPJQ		
m.thermophila	G2Q8Y7	Carbohydrate esterase family 1 protein	Y	CE1	esterase	feruloyl esterase			-0.51	0.02	-0.81													2	2	221.84	17	tr|G2Q8Y7|G2Q8Y7_MYCTT		
h.jecorina	G0RKL5	Predicted protein	N						-0.60	-0.27	-0.52	-0.52	-0.49											4	4	30.998	30	tr|G0RKL5|G0RKL5_HYPJQ		cell redox homeostasis [GO:0045454]
h.jecorina	G0RKP1	Peptidyl-prolyl cis-trans isomerase	N						-0.62	-0.89	0.46		-0.11					-0.52	-1.50					4	4	61.43	46	tr|G0RKP1|G0RKP1_HYPJQ	EC 5.2.1.8	protein folding [GO:0006457]
h.jecorina	G0RKY4	Ubiquitin fusion protein	N						0.03	0.19	-0.39	-0.22	-0.18					-0.51	-0.44	-0.58				2	2	14.59	38	tr|G0RKY4|G0RKY4_HYPJQ;tr|G0RUB4|G0RUB4_HYPJQ;tr|G0RNS8|G0RNS8_HYPJQ		
h.jecorina	G0RKZ7	Aldehyde dehydrogenase	N						-0.14	0.10	0.08	-0.38	0.37											13	13	112.95	59	tr|G0RKZ7|G0RKZ7_HYPJQ		
h.jecorina	G0RLL7	Predicted protein	N						-1.99	-1.90	-2.03													2	2	14.12	5	tr|G0RLL7|G0RLL7_HYPJQ		
h.jecorina	G0RLS6	Predicted protein	N						0.16	0.31	-0.19	-0.29	0.36					-0.37		-1.46				9	9	86.423	43	tr|G0RLS6|G0RLS6_HYPJQ		
h.jecorina	G0RMH6	Protein disulfide-isomerase	Y						0.13	0.37	0.76	0.35	1.36	-0.01										11	11	102.18	64	tr|G0RMH6|G0RMH6_HYPJQ	EC 5.3.4.1	cell redox homeostasis [GO:0045454]
h.jecorina	G0RMI2	14-3-3 class protein	N						0.53	0.13	-0.19	-1.26	-0.72					-0.33	-1.76	-0.75				7	6	196.32	44	tr|G0RMI2|G0RMI2_HYPJQ		
h.jecorina	G0RMU3	Hsp70 family protein	N						-1.82	-1.37	-0.76													6	6	44.701	20	tr|G0RMU3|G0RMU3_HYPJQ		'de novo' cotranslational protein folding [GO:0051083]; cellular response to glucose starvation [GO:0042149]; cytoplasmic translation [GO:0002181]; regulation of translational fidelity [GO:0006450]; ribosomal subunit export from nucleus [GO:0000054]; rRNA processing [GO:0006364]; translational frameshifting [GO:0006452]; translational termination [GO:0006415]
h.jecorina	G0RMW6	Uncharacterized protein	N						-0.92	-0.70								-0.75	-2.45	-2.32				3	3	18.711	21	tr|G0RMW6|G0RMW6_HYPJQ		translation [GO:0006412]
h.jecorina	G0RNE6	Predicted protein	N						-1.24	-0.83	-1.08		-0.57					-0.12	-1.38	-1.48				6	6	42.782	25	tr|G0RNE6|G0RNE6_HYPJQ		metabolic process [GO:0008152]
h.jecorina	G0RNP5	Predicted protein	N						-1.50	-1.43	-1.35	-1.81	-1.75											2	2	18.056	23	tr|G0RNP5|G0RNP5_HYPJQ		
h.jecorina	G0RP74	Predicted protein	Y															3.28	3.49	3.18				6	6	323.31	115	tr|G0RP74|G0RP74_HYPJQ		
h.jecorina	G0RPD5	Predicted protein	Y						-0.25	0.25	-0.57				-1.09	-0.70	-0.05	-0.66		-2.19				2	2	35.447	58	tr|G0RPD5|G0RPD5_HYPJQ		DNA catabolic process [GO:0006308]
h.jecorina	G0RPK6	Predicted protein	Y						1.24	1.24	1.05	0.95	1.29	0.32										10	9	179.26	95	tr|G0RPK6|G0RPK6_HYPJQ		
h.jecorina	G0RPL7	Predicted protein	Y															-1.39	-1.13	-1.09				2	2	14.478	5	tr|G0RPL7|G0RPL7_HYPJQ		superoxide metabolic process [GO:0006801]
m.thermophila	G2Q8Y8	Ferulic acid esterase	Y	CE1	esterase	feruloyl esterase			1.32	4.19	3.07				0.10	1.73	1.33							4	4	228.57	78	tr|G2Q8Y8|G2Q8Y8_MYCTT		
h.jecorina	G0RQ35	Tubulin beta chain	N						-0.50	-0.35	-0.24							-1.43						7	3	58.044	40	tr|G0RQ35|G0RQ35_HYPJQ		microtubule-based process [GO:0007017]
h.jecorina	G0RQ81	ATP synthase subunit beta	N						1.57	1.73	1.95	1.45	1.89	1.53				0.56	0.90	0.21				14	14	323.31	214	tr|G0RQ81|G0RQ81_HYPJQ	EC 3.6.3.14	ATP synthesis coupled proton transport [GO:0015986]
h.jecorina	G0RQF9	Histone H4	N						-0.66	-0.56	-0.35	-0.39	-0.23											3	3	32.56	35	tr|G0RQF9|G0RQF9_HYPJQ		nucleosome assembly [GO:0006334]
h.jecorina	G0RQJ8	Transaldolase	N															-0.31	-0.89					9	9	79.951	20	tr|G0RQJ8|G0RQJ8_HYPJQ	EC 2.2.1.2	carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098]
h.jecorina	G0RQK0	Superoxide dismutase [Cu-Zn]	N						-1.93	-1.99														3	3	23.581	10	tr|G0RQK0|G0RQK0_HYPJQ	EC 1.15.1.1	age-dependent response to reactive oxygen species involved in chronological cell aging [GO:0001320]; cellular copper ion homeostasis [GO:0006878]; cellular zinc ion homeostasis [GO:0006882]; fungal-type cell wall organization [GO:0031505]; negative regulation of cellular respiration [GO:1901856]; positive regulation of sequence-specific DNA binding transcription factor activity [GO:0051091]; positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0036091]; protein stabilization [GO:0050821]
m.thermophila	G2QD29	Carbohydrate esterase family 1 protein	Y	CE1	esterase	feruloyl esterase			2.97	3.01	2.39	2.83	2.10	2.84	-0.09	0.35	0.00	1.21	1.04	0.33				6	6	258.74	461	tr|G2QD29|G2QD29_MYCTT		
h.jecorina	G0RQQ3	Woronin body major protein	N						1.08	1.79	1.01	-0.11	-0.06					-0.54						6	6	183.81	45	tr|G0RQQ3|G0RQQ3_HYPJQ		positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]; translational frameshifting [GO:0006452]
h.jecorina	G0RQS4	Dehyrdogenase/reductase domain-containing protein	N															0.27		-1.04				3	3	42.668	9	tr|G0RQS4|G0RQS4_HYPJQ		
